id,panel_type,side,u_location
8524faef-4f24-437a-a5fc-d708eb9f4466,BlankingPanel,Front,41
8524faef-4f24-437a-a5fc-d708eb9f4466,CableManagement,Rear,42
87c902d0-a297-442e-a61c-945cc934cdeb,BlankingPanel,Front,41
87c902d0-a297-442e-a61c-945cc934cdeb,CableManagement,Rear,42
262f5654-f60c-4c48-b656-e90389c24fa5,BlankingPanel,Front,41
262f5654-f60c-4c48-b656-e90389c24fa5,CableManagement,Rear,42
0277d483-9618-4fd6-9de0-325a900183b6,BlankingPanel,Front,41
0277d483-9618-4fd6-9de0-325a900183b6,CableManagement,Rear,42
b65f9900-a59c-437b-a262-3b472048e613,BlankingPanel,Front,41
b65f9900-a59c-437b-a262-3b472048e613,CableManagement,Rear,42
c4b8035f-4c3d-4b84-9b0f-a640550c267d,BlankingPanel,Front,41
c4b8035f-4c3d-4b84-9b0f-a640550c267d,CableManagement,Rear,42
73925bdb-98f8-4522-be7b-9d7ebff15c98,BlankingPanel,Front,41
73925bdb-98f8-4522-be7b-9d7ebff15c98,CableManagement,Rear,42
56623d4b-fd76-43f2-a082-493e088015a5,BlankingPanel,Front,41
56623d4b-fd76-43f2-a082-493e088015a5,CableManagement,Rear,42
2e0ec076-0bd3-4b5a-a105-d7d65b92aea6,BlankingPanel,Front,41
2e0ec076-0bd3-4b5a-a105-d7d65b92aea6,CableManagement,Rear,42
929a211e-28c1-41ec-92b5-2f377e3a526e,BlankingPanel,Front,41
929a211e-28c1-41ec-92b5-2f377e3a526e,CableManagement,Rear,42
